cve_id,cve_description,cwe_id,cwe_description
CVE-2006-4407,"Incorrect prioritization leads to the selection of a weaker cipher. Although it is not known whether this issue occurred in implementation or design, it is feasible that a poorly designed algorithm could be a factor.",CWE-636,Not Failing Securely ('Failing Open')
CVE-2000-0335,"DNS resolver library uses predictable IDs, which allows a local attacker to spoof DNS query results.",CWE-341,Predictable from Observable State
CVE-2009-2408,"Web browser does not correctly handle '0' character (NUL) in Common Name, allowing spoofing of https sites.",CWE-295,Improper Certificate Validation
CVE-2008-3571,empty packet triggers reboot,CWE-20,Improper Input Validation
CVE-2004-0281,Multiple trailing dot allows directory listing,CWE-43,Path Equivalence: 'filename....' (Multiple Trailing Dot)
CVE-2011-0199,"Operating system does not check Certificate Revocation List (CRL) in some cases, allowing spoofing using a revoked certificate.",CWE-295,Improper Certificate Validation
CVE-2001-1494,"Hard link attack, file overwrite; interesting because program checks against soft links",CWE-59,Improper Link Resolution Before File Access ('Link Following')
CVE-2006-4068,"Hard-coded hashed values for username and password contained in client-side script, allowing brute-force offline attacks.",CWE-656,Reliance on Security Through Obscurity
CVE-2022-30313,Safety Instrumented System uses proprietary TCP protocols with no authentication.,CWE-287,Improper Authentication
CVE-2021-0146,"Processor allows the activation of test or debug logic at runtime, allowing escalation of privileges",CWE-1313,Hardware Allows Activation of Test or Debug Logic at Runtime
CVE-2019-18827,"chain: JTAG interface is not disabled (CWE-1191) during ROM code execution, introducing a race condition (CWE-362) to extract encryption keys",CWE-362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')
CVE-2008-5738,Calendar application allows bypass of authentication by setting a certain cookie value to 1.,CWE-642,External Control of Critical State Data
CVE-2020-9054,"Chain: improper input validation (CWE-20) in username parameter, leading to OS command injection (CWE-78), as exploited in the wild per CISA KEV.",CWE-78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')
CVE-2009-3767,LDAP server's incorrect handling of '0' character (NUL) in hostname verification allows spoofing.,CWE-297,Improper Validation of Certificate with Host Mismatch
CVE-2017-5015,"web browser does not convert hyphens to punycode, allowing IDN spoofing in URLs",CWE-1007,Insufficient Visual Distinction of Homoglyphs Presented to User
CVE-2006-0963,Buffer overflow using strcpy(),CWE-676,Use of Potentially Dangerous Function
CVE-2001-0967,"Server uses a constant salt when encrypting passwords, simplifying brute force attacks.",CWE-760,Use of a One-Way Hash with a Predictable Salt
CVE-2013-5211,composite: NTP feature generates large responses (high amplification factor) with spoofed UDP source addresses.,CWE-406,Insufficient Control of Network Message Volume (Network Amplification)
CVE-2024-32878,LLM product has a free of an uninitialized pointer,CWE-824,Access of Uninitialized Pointer
CVE-2002-1841,PHP upload does not restrict file types,CWE-434,Unrestricted Upload of File with Dangerous Type
CVE-2002-0614,.inc file,CWE-433,Unparsed Raw Web Content Delivery
CVE-2018-1000613,Cryptography API uses unsafe reflection when deserializing a private key,CWE-913,Improper Control of Dynamically-Managed Code Resources
CVE-2008-4577,"ACL-based protection mechanism treats negative access rights as if they are positive, allowing bypass of intended restrictions.",CWE-863,Incorrect Authorization
CVE-2003-0517,Symlink attack allows local users to overwrite files.,CWE-61,UNIX Symbolic Link (Symlink) Following
CVE-2017-0492,System UI in mobile OS allows a malicious application to create a UI overlay of the entire screen to gain privileges.,CWE-1021,Improper Restriction of Rendered UI Layers or Frames
CVE-2004-0578,Server allows remote attackers to read arbitrary files via leading slash (//) characters in a URL request.,CWE-50,Path Equivalence: '//multiple/leading/slash'
CVE-2004-0148,FTP server places a user in the root directory when the user's permissions prevent access to the their own home directory.,CWE-280,Improper Handling of Insufficient Permissions or Privileges 
CVE-2021-24018,buffer underwrite in firmware verification routine allows code execution via a crafted firmware image,CWE-124,Buffer Underwrite ('Buffer Underflow')
CVE-2002-1646,SSH server implementation allows override of configuration setting to use weaker authentication schemes. This may be a composite with CWE-642.,CWE-757,Selection of Less-Secure Algorithm During Negotiation ('Algorithm Downgrade')
CVE-2021-37415,"IT management product does not perform authentication for some REST API requests, as exploited in the wild per CISA KEV.",CWE-284,Improper Access Control
CVE-2006-4410,Certificate revocation list not searched for certain certificates.,CWE-299,Improper Check for Certificate Revocation
CVE-2007-5778,login credentials stored unencrypted in a registry key,CWE-311,Missing Encryption of Sensitive Data
CVE-2005-3119,Memory leak because function does not free() an element of a data structure.,CWE-401,Missing Release of Memory after Effective Lifetime
CVE-2022-1509,injection of sed script syntax (sed injection),CWE-77,Improper Neutralization of Special Elements used in a Command ('Command Injection')
CVE-2005-0233,homoglyph spoofing using punycode in URLs and certificates,CWE-1007,Insufficient Visual Distinction of Homoglyphs Presented to User
CVE-2009-3781,"Content management system does not check access permissions for private files, allowing others to view those files.",CWE-285,Improper Authorization
CVE-2021-44228,"Product does not neutralize ${xyz} style expressions, allowing remote code execution. (log4shell vulnerability)",CWE-74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')
CVE-2009-2054,Product allows exhaustion of file descriptors when processing a large number of TCP packets.,CWE-770,Allocation of Resources Without Limits or Throttling
CVE-2005-2456,Chain: array index error (CWE-129) leads to deadlock (CWE-833),CWE-833,Deadlock
CVE-2005-3120,"transformation overflow: product adds extra escape characters to incoming data, but does not account for them in the buffer length",CWE-131,Incorrect Calculation of Buffer Size
CVE-2020-8004,"When the internal flash is protected by blocking access on the Data Bus (DBUS), it can still be indirectly accessed through the Instruction Bus (IBUS).",CWE-1299,Missing Protection Mechanism for Alternate Hardware Interface
CVE-2007-4217,"FTP client program on a certain OS runs with setuid privileges and has a buffer overflow. Most clients do not need extra privileges, so an overflow is not a vulnerability for those clients.",CWE-269,Improper Privilege Management
CVE-2002-1788,format strings in NNTP server responses,CWE-134,Use of Externally-Controlled Format String
CVE-2012-3503,"Installation script has a hard-coded secret token value, allowing attackers to bypass authentication",CWE-1391,Use of Weak Credentials
CVE-2022-29964,Distributed Control System (DCS) has hard-coded passwords for local shell access,CWE-798,Use of Hard-coded Credentials
CVE-2006-2428,ASP file upload,CWE-434,Unrestricted Upload of File with Dangerous Type
CVE-2010-1253,"Spreadsheet software treats certain record values that lead to user-controlled pointer (might be untrusted offset, not untrusted pointer).",CWE-822,Untrusted Pointer Dereference
CVE-2001-0249,expansion overflow: long pathname + glob = overflow,CWE-131,Incorrect Calculation of Buffer Size
CVE-2002-0943,Database file under web root.,CWE-219,Storage of File with Sensitive Data Under Web Root
CVE-2022-26117,Network access control (NAC) product has a configuration file with an empty password,CWE-258,Empty Password in Configuration File
CVE-2009-0040,Crafted PNG image leads to free of uninitialized pointer.,CWE-824,Access of Uninitialized Pointer
CVE-2018-16733,product does not validate that the start block appears before the end block,CWE-1288,Improper Validation of Consistency within Input
CVE-2005-2060,Bulletin board allows response splitting via CRLF in parameter.,CWE-113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting')
CVE-2021-43537,"Chain: in a web browser, an unsigned 64-bit integer is forcibly cast to a 32-bit integer (CWE-681) and potentially leading to an integer overflow (CWE-190). If an integer overflow occurs, this can cause heap memory corruption (CWE-122)",CWE-681,Incorrect Conversion between Numeric Types
CVE-2020-7010,Cloud application on Kubernetes generates passwords using a weak random number generator based on deployment time.,CWE-337,Predictable Seed in Pseudo-Random Number Generator (PRNG)
CVE-2008-5724,Personal firewall allows attackers to gain SYSTEM privileges.,CWE-781,Improper Address Validation in IOCTL with METHOD_NEITHER I/O Control Code
CVE-2007-6197,Version numbers and internal hostnames leaked in HTML comments.,CWE-615,Inclusion of Sensitive Information in Source Code Comments
CVE-2023-49286,Chain: function in web caching proxy does not correctly check a return value (CWE-253) leading to a reachable assertion (CWE-617),CWE-253,Incorrect Check of Function Return Value
CVE-2002-0934,"Directory traversal vulnerability allows remote attackers to read or modify arbitrary files via invalid characters between two . (dot) characters, which are filtered and result in a .. sequence.",CWE-179,Incorrect Behavior Order: Early Validation
CVE-1999-0239,Directories may be listed because lower case web requests are not properly handled by the server.,CWE-178,Improper Handling of Case Sensitivity
CVE-2013-0277,Ruby on Rails allows deserialization of untrusted YAML to execute arbitrary code.,CWE-915,Improperly Controlled Modification of Dynamically-Determined Object Attributes
CVE-2018-1999036,SSH password for private key stored in build log,CWE-532,Insertion of Sensitive Information into Log File
CVE-2004-1083,"Web server restricts access to files in a case sensitive manner, but the filesystem accesses files in a case insensitive manner, which allows remote attackers to read privileged files using alternate capitalization.",CWE-178,Improper Handling of Case Sensitivity
CVE-2020-5365,network-attached storage (NAS) system has predictable default passwords for a diagnostics/support account,CWE-1391,Use of Weak Credentials
CVE-2022-2054,Python compiler uses eval() to execute malicious strings as Python code.,CWE-913,Improper Control of Dynamically-Managed Code Resources
CVE-2005-2456,Chain: array index error (CWE-129) leads to deadlock (CWE-833),CWE-667,Improper Locking
CVE-2002-1774,Null character in MIME header allows detection bypass.,CWE-158,Improper Neutralization of Null Byte or NUL Character
CVE-2002-0433,Product allows remote attackers to view restricted files via an HTTP request containing a * (wildcard or asterisk) character.,CWE-180,Incorrect Behavior Order: Validate Before Canonicalize
CVE-2004-1703,Add user accounts via a URL in an img tag,CWE-352,Cross-Site Request Forgery (CSRF)
CVE-2003-0813,"A multi-threaded race condition allows remote attackers to cause a denial of service (crash or reboot) by causing two threads to process the same RPC request, which causes one thread to use memory after it has been freed.",CWE-367,Time-of-check Time-of-use (TOCTOU) Race Condition
CVE-2001-0491,"multiple attacks using .., ..., and .... in different commands",CWE-33,Path Traversal: '....' (Multiple Dot)
CVE-2019-11495,"server uses erlang:now() to seed the PRNG, which results in a small search space for potential random seeds",CWE-335,Incorrect Usage of Seeds in Pseudo-Random Number Generator (PRNG)
CVE-2001-0943,"Database trusts the PATH environment variable to find and execute programs, which allows local users to modify the PATH to point to malicious programs.",CWE-427,Uncontrolled Search Path Element
CVE-2000-0041,Large datagrams are sent in response to malformed datagrams.,CWE-406,Insufficient Control of Network Message Volume (Network Amplification)
CVE-2001-0191,"Service does not properly check the specified length of a cookie, which allows remote attackers to execute arbitrary commands via a buffer overflow, or brute force authentication by using a short cookie length.",CWE-130,Improper Handling of Length Parameter Inconsistency
CVE-2002-1493,guestbook XSS in STYLE or IMG SRC attributes.,CWE-83,Improper Neutralization of Script in Attributes in a Web Page
CVE-2007-4268,"Chain: integer signedness error (CWE-195) passes signed comparison, leading to heap overflow (CWE-122)",CWE-681,Incorrect Conversion between Numeric Types
CVE-2002-1077,Crash in HTTP request without a Content-Length field.,CWE-234,Failure to Handle Missing Parameter
CVE-2006-4904,Chain: dynamic variable evaluation in PHP program used to conduct remote file inclusion.,CWE-627,Dynamic Variable Evaluation
CVE-2020-25095,"web console for SIEM product does not check Origin header, allowing Cross Site WebSocket Hijacking (CSWH)",CWE-1385,Missing Origin Validation in WebSockets
CVE-2002-1752,Direct code injection into Perl eval function.,CWE-95,Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection')
CVE-2000-0521,Web server allows disclosure of CGI source code via an HTTP request without the version number.,CWE-234,Failure to Handle Missing Parameter
CVE-2003-0844,Web server plugin allows local users to overwrite arbitrary files via a symlink attack on predictable temporary filenames.,CWE-65,Windows Hard Link
CVE-2008-5748,Chain: external control of values for user's desired language and theme enables path traversal.,CWE-73,External Control of File Name or Path
CVE-2020-7218,"Go-based workload orchestrator does not limit resource usage with unauthenticated connections, allowing a DoS by flooding the service",CWE-770,Allocation of Resources Without Limits or Throttling
CVE-2013-4787,"chain: mobile OS verifies cryptographic signature of file in an archive, but then installs a different file with the same name that is also listed in the archive.",CWE-694,Use of Multiple Resources with Duplicate Identifier
CVE-2001-0795,Server allows remote attackers to obtain source code of CGI scripts via URLs that contain MS-DOS conventions such as (1) upper case letters or (2) 8.3 file names.,CWE-178,Improper Handling of Case Sensitivity
CVE-2007-3730,default configuration for POP server does not log source IP or username for login attempts,CWE-778,Insufficient Logging
CVE-2005-1879,Second-order symlink vulnerabilities,CWE-61,UNIX Symbolic Link (Symlink) Following
CVE-2002-1975,"Encryption error uses fixed salt, simplifying brute force / dictionary attacks (overlaps randomness).",CWE-326,Inadequate Encryption Strength
CVE-2006-3741,chain: improper reference count tracking leads to file descriptor consumption,CWE-911,Improper Update of Reference Count
CVE-2005-0824,Signal causes a dump that follows symlinks.,CWE-61,UNIX Symbolic Link (Symlink) Following
CVE-2002-1981,Roles have access to dangerous procedures (Accessible entities).,CWE-267,Privilege Defined With Unsafe Actions
[REF-1095],"A hardware smart lock has weak key generation that allows attackers to steal the key by BLE sniffing, but the device's firmware cannot be upgraded and hence remains vulnerable [REF-1095].",CWE-1277,Firmware Not Updateable
CVE-2003-0307,Attacker inserts field separator into input to specify admin privileges.,CWE-140,Improper Neutralization of Delimiters
CVE-2002-1372,"Chain: Return values of file/socket operations are not checked (CWE-252), allowing resultant consumption of file descriptors (CWE-772).",CWE-404,Improper Resource Shutdown or Release
CVE-2001-0693,Source disclosure via trailing encoded space %20,CWE-46,Path Equivalence: 'filename ' (Trailing Space)
CVE-2004-2260,"Browser updates address bar as soon as user clicks on a link instead of when the page has loaded, allowing spoofing by redirecting to another page using onUnload method. ** this is one example of the role of hooks and context switches, and should be captured somehow - also a race condition of sorts **",CWE-368,Context Switching Race Condition
CVE-2008-0058,Unsynchronized caching operation enables a race condition that causes messages to be sent to a deallocated object.,CWE-362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')
CVE-2002-1697,Weak encryption produces same ciphertext from the same plaintext blocks.,CWE-326,Inadequate Encryption Strength
CVE-2021-27101,"SQL injection in file-transfer system via a crafted Host header, as exploited in the wild per CISA KEV.",CWE-89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
CVE-2021-28918,Chain: Use of zero-prepended IP addresses in a product that manages IP blocks can lead to an SSRF.,CWE-1389,Incorrect Parsing of Numbers with Different Radices
CVE-2002-1910,Weak encryption (reversible algorithm).,CWE-326,Inadequate Encryption Strength
CVE-2022-42745,Recruiter software allows reading arbitrary files using XXE,CWE-611,Improper Restriction of XML External Entity Reference
CVE-2001-1131,... in cd command in FTP server,CWE-23,Relative Path Traversal
CVE-2009-2367,"Web application generates predictable session IDs, allowing session hijacking.",CWE-330,Use of Insufficiently Random Values
CVE-2004-0847,%5c (encoded backslash),CWE-177,Improper Handling of URL Encoding (Hex Encoding)
CVE-2003-0078,"SSL implementation does not perform a MAC computation if an incorrect block cipher padding is used, which causes an information leak (timing discrepancy) that may make it easier to launch cryptographic attacks that rely on distinguishing between padding and MAC verification errors, possibly leading to extraction of the original plaintext, aka the Vaudenay timing attack.",CWE-203,Observable Discrepancy
CVE-2002-2031,File existence via infoleak monitoring whether onerror handler fires or not.,CWE-206,Observable Internal Behavioral Discrepancy
CVE-2005-1061,"Certain strings are later used in a regexp, leading to a resultant crash.",CWE-185,Incorrect Regular Expression
CVE-2010-5185,Antivirus product does not check whether certificates from signed executables have been revoked.,CWE-299,Improper Check for Certificate Revocation
CVE-2004-0492,Server allows remote attackers to cause a denial of service and possibly execute arbitrary code via a negative Content-Length HTTP header field causing a heap-based buffer overflow.,CWE-130,Improper Handling of Length Parameter Inconsistency
CVE-2008-3831,Device driver does not restrict ioctl calls to its direct rendering manager.,CWE-782,Exposed IOCTL with Insufficient Access Control
CVE-2010-3135,DLL hijacking issue in network monitoring software.,CWE-427,Uncontrolled Search Path Element
CVE-1999-1386,"Some versions of Perl follow symbolic links when running with the -e option, which allows local users to overwrite arbitrary files via a symlink attack.",CWE-59,Improper Link Resolution Before File Access ('Link Following')
CVE-2021-0920,"Chain: mobile platform race condition (CWE-362) leading to use-after-free (CWE-416), as exploited in the wild per CISA KEV.",CWE-362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')
CVE-2004-0427,Memory leak when counter variable is not decremented.,CWE-401,Missing Release of Memory after Effective Lifetime
CVE-2020-10884,"WiFi router service has a hard-coded encryption key, allowing root access",CWE-321,Use of Hard-coded Cryptographic Key
CVE-2003-0844,Web server plugin allows local users to overwrite arbitrary files via a symlink attack on predictable temporary filenames.,CWE-59,Improper Link Resolution Before File Access ('Link Following')
CVE-2005-2181,"Insufficient verification in VoIP implementation, in violation of standard, allows spoofed messages.",CWE-358,Improperly Implemented Security Check for Standard
CVE-2005-1688,Direct request leads to infoleak by error.,CWE-425,Direct Request ('Forced Browsing')
CVE-2011-2701,chain: incorrect parsing of replies from OCSP responders allows bypass using a revoked certificate.,CWE-299,Improper Check for Certificate Revocation
CVE-2002-0117,Encoded javascript in IMG tag.,CWE-84,Improper Neutralization of Encoded URI Schemes in a Web Page
CVE-2021-22204,"Chain: regex in EXIF processor code does not correctly determine where a string ends (CWE-625), enabling eval injection (CWE-95), as exploited in the wild per CISA KEV.",CWE-94,Improper Control of Generation of Code ('Code Injection')
CVE-2022-1733,Text editor has out-of-bounds read past end of line while indenting C code,CWE-126,Buffer Over-read
CVE-2007-0681,"Web app allows remote attackers to change the passwords of arbitrary users without providing the original password, and possibly perform other unauthorized actions.",CWE-522,Insufficiently Protected Credentials
CVE-2008-4638,"Composite: application running with high privileges (CWE-250) allows user to specify a restricted file to process, which generates a parsing error that leaks the contents of the file (CWE-209).",CWE-200,Exposure of Sensitive Information to an Unauthorized Actor
CVE-2021-3116,"Chain: Python-based HTTP Proxy server uses the wrong boolean operators (CWE-480) causing an incorrect comparison (CWE-697) that identifies an authN failure if all three conditions are met instead of only one, allowing bypass of the proxy authentication (CWE-1390)",CWE-287,Improper Authentication
CVE-2022-24823,"A network application framework uses the Java function createTempFile(), which will create a file that is readable by other local users of the system",CWE-378,Creation of Temporary File With Insecure Permissions
CVE-2006-2828,import_request_variables() buried in include files makes post-disclosure analysis confusing,CWE-621,Variable Extraction Error
CVE-2019-17661,CSV injection in content management system via formula code in a first or last name,CWE-1236,Improper Neutralization of Formula Elements in a CSV File
CVE-2024-4315,"Chain: API for text generation using Large Language Models (LLMs) does not include the Windows folder separator in its denylist (CWE-184) when attempting to prevent Local File Inclusion via path traversal (CWE-22), allowing deletion of arbitrary files on Windows systems.",CWE-184,Incomplete List of Disallowed Inputs
CVE-2010-1281,Multimedia player uses untrusted value from a file when using file-pointer calculations.,CWE-823,Use of Out-of-range Pointer Offset
CVE-2004-1590,Script calls phpinfo(),CWE-213,Exposure of Sensitive Information Due to Incompatible Policies
CVE-2006-4409,Product cannot access certificate revocation list when an HTTP proxy is being used.,CWE-299,Improper Check for Certificate Revocation
CVE-2008-1303,missing parameter leads to crash,CWE-20,Improper Input Validation
CVE-2003-0230,Product creates Windows named pipe during authentication that another attacker can hijack by connecting to it.,CWE-421,Race Condition During Access to Alternate Channel
CVE-2022-24730,"Go-based continuous deployment product does not check that a user has certain privileges to update or create an app, allowing adversaries to read sensitive repository information",CWE-285,Improper Authorization
CVE-2004-0063,"Function returns OK even if another function returns a different status code than expected, leading to accepting an invalid PIN number.",CWE-392,Missing Report of Error Condition
CVE-2020-10148,"Authentication bypass by appending specific parameters and values to a URI, as exploited in the wild per CISA KEV.",CWE-287,Improper Authentication
CVE-2015-8854,ReDoS when parsing documents.,CWE-1333,Inefficient Regular Expression Complexity
CVE-2003-0187,Program uses large timeouts on unconfirmed connections resulting from inconsistency in linked lists implementations.,CWE-440,Expected Behavior Violation
CVE-2004-0594,PHP flaw allows remote attackers to execute arbitrary code by aborting execution before the initialization of key data structures is complete.,CWE-367,Time-of-check Time-of-use (TOCTOU) Race Condition
CVE-2003-0754,Authentication bypass by modifying array used for authentication.,CWE-473,PHP External Variable Modification
CVE-2022-30313,Safety Instrumented System uses proprietary TCP protocols with no authentication.,CWE-306,Missing Authentication for Critical Function
CVE-2004-2227,"Web browser's filename selection dialog only shows the beginning portion of long filenames, which can trick users into launching executables with dangerous extensions.",CWE-451,User Interface (UI) Misrepresentation of Critical Information
CVE-2020-10221,"Template functionality in network configuration management tool allows OS command injection, as exploited in the wild per CISA KEV.",CWE-78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')
CVE-2006-4447,"Program does not check return value when invoking functions to drop privileges, which could leave users with higher privileges than expected by forcing those functions to fail.",CWE-252,Unchecked Return Value
CVE-2020-0688,"Mail server does not generate a unique key during installation, as exploited in the wild per CISA KEV.",CWE-287,Improper Authentication
CVE-2003-0981,"Product records the reverse DNS name of a visitor in the logs, allowing spoofing and resultant XSS.",CWE-350,Reliance on Reverse DNS Resolution for a Security-Critical Action
CVE-2024-5184,API service using a large generative AI model allows direct prompt injection to leak hard-coded system prompts or execute other prompts.,CWE-74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')
CVE-2005-1745,Infoleak of sensitive information in error message (physical access required).,CWE-210,Self-generated Error Message Containing Sensitive Information
CVE-2022-30270,Remote Terminal Unit (RTU) uses default credentials for some SSH accounts,CWE-1391,Use of Weak Credentials
CVE-2009-3616,"use-after-free by disconnecting during data transfer, or a message containing incorrect data types",CWE-416,Use After Free
CVE-2022-29959,Initialization file contains credentials that can be decoded using a simple string transformation,CWE-1390,Weak Authentication
CVE-2001-0865,"Router does not implement a specific keyword when it is used in an ACL, allowing filter bypass.",CWE-447,Unimplemented or Unsupported Feature in UI
CVE-2008-2020,"CAPTCHA implementation does not produce enough different images, allowing bypass using a database of all possible checksums.",CWE-330,Use of Insufficiently Random Values
CVE-2009-3022,CMS allows modification of configuration via CSRF attack against the administrator,CWE-352,Cross-Site Request Forgery (CSRF)
CVE-2001-0480,read of arbitrary files and directories using GET or CD with ... in Windows-based FTP server.,CWE-23,Relative Path Traversal
CVE-2007-6243,"Chain: Adobe Flash Player does not sufficiently restrict the interpretation and usage of cross-domain policy files, which makes it easier for remote attackers to conduct cross-domain and cross-site scripting (XSS) attacks.",CWE-942,Permissive Cross-domain Policy with Untrusted Domains
CVE-2003-0307,Attacker inserts field separator into input to specify admin privileges.,CWE-141,Improper Neutralization of Parameter/Argument Delimiters
CVE-2005-1835,Data file under web root.,CWE-219,Storage of File with Sensitive Data Under Web Root
CVE-2022-31503,"Python package constructs filenames using an unsafe os.path.join call on untrusted input, allowing absolute path traversal because os.path.join resets the pathname to an absolute path that is specified as part of the input.",CWE-36,Absolute Path Traversal
CVE-2005-1711,Product uses defunct method from another product that does not return an error code and allows detection avoidance.,CWE-439,Behavioral Change in New Version or Environment
CVE-2004-0274,"Product mistakenly assigns a particular status to an entity, leading to increased privileges.",CWE-269,Improper Privilege Management
CVE-2003-0625,Off-by-one error allows read of sensitive memory via a malformed request.,CWE-193,Off-by-one Error
CVE-1999-1318,"Software uses a search path that includes the current working directory (.), which allows local users to gain privileges via malicious programs.",CWE-427,Uncontrolled Search Path Element
CVE-2001-1494,"Hard link attack, file overwrite; interesting because program checks against soft links",CWE-62,UNIX Hard Link
CVE-2008-4730,Reflected XSS not properly handled when generating an error message,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2009-2694,Instant messaging library does not validate an offset value specified in a packet.,CWE-823,Use of Out-of-range Pointer Offset
CVE-2002-2042,Allows attachment to and modification of privileged processes (Unsafe privileged actions).,CWE-267,Privilege Defined With Unsafe Actions
CVE-2001-0667,Web browser allows remote attackers to execute commands by spawning Telnet with a log file option on the command line and writing arbitrary code into an executable file which is later executed.,CWE-88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection')
CVE-2008-5071,Eval injection in PHP program.,CWE-95,Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection')
CVE-2000-0102,Shopping cart allows price modification via hidden form field.,CWE-472,External Control of Assumed-Immutable Web Parameter
CVE-2022-30314,Firmware for a Safety Instrumented System (SIS) has hard-coded credentials for access to boot configuration,CWE-798,Use of Hard-coded Credentials
CVE-2009-1388,multiple simultaneous calls to the same function trigger deadlock.,CWE-667,Improper Locking
CVE-2009-1549,Attacker can bypass authentication by setting a cookie to a specific value.,CWE-807,Reliance on Untrusted Inputs in a Security Decision
CVE-2022-31162,Rust library leaks Oauth client details in application debug logs,CWE-1258,Exposure of Sensitive System Information Due to Uncleared Debug Information
CVE-2005-0824,Signal causes a dump that follows symlinks.,CWE-59,Improper Link Resolution Before File Access ('Link Following')
CVE-2003-0395,PHP code from User-Agent HTTP header directly inserted into log file implemented as PHP script.,CWE-94,Improper Control of Generation of Code ('Code Injection')
CVE-2020-10263,"Bluetooth speaker does not require authentication for the debug functionality on the UART port, allowing root shell access",CWE-284,Improper Access Control
CVE-2002-0001,Mail client command execution due to improperly terminated comment in address list.,CWE-151,Improper Neutralization of Comment Delimiters
CVE-2009-4565,Mail server's incorrect handling of '0' character (NUL) in hostname verification allows spoofing.,CWE-297,Improper Validation of Certificate with Host Mismatch
CVE-1999-0794,Product does not warn user when document contains certain dangerous functions or macros.,CWE-356,Product UI does not Warn User of Unsafe Actions
CVE-2008-2951,An open redirect vulnerability in the search script in the software allows remote attackers to redirect users to arbitrary web sites and conduct phishing attacks via a URL as a parameter to the proper function.,CWE-601,URL Redirection to Untrusted Site ('Open Redirect')
CVE-2001-0682,Program can not execute when attacker obtains a mutex.,CWE-667,Improper Locking
CVE-2002-1850,read/write deadlock between web server and script,CWE-667,Improper Locking
CVE-2002-0107,Resultant infoleak in web server via GET requests without HTTP/1.0 version string.,CWE-234,Failure to Handle Missing Parameter
CVE-2005-1658,Triple dot,CWE-32,Path Traversal: '...' (Triple Dot)
CVE-2003-1000,"Chat client allows remote attackers to cause a denial of service (crash) via a passive DCC request with an invalid ID number, which causes a null dereference.",CWE-476,NULL Pointer Dereference
CVE-2006-6838,control downloads and executes a url in a parameter,CWE-618,Exposed Unsafe ActiveX Method
CVE-2004-1901,Package listing system allows local users to overwrite arbitrary files via a hard link attack on the lockfiles.,CWE-59,Improper Link Resolution Before File Access ('Link Following')
CVE-2019-1135,"A TSX Asynchronous Abort may allow transient operations to access architecturally restricted data, potentially exposing the data over a covert channel.",CWE-1421,Exposure of Sensitive Information in Shared Microarchitectural Structures during Transient Execution
CVE-2006-2275,Deadlock when large number of small messages cannot be processed quickly enough.,CWE-833,Deadlock
CVE-2002-1759,"Product doesn't check if the variables for an upload were set by uploading the file, or other methods such as $_POST.",CWE-616,Incomplete Identification of Uploaded File Variables (PHP)
CVE-2007-5159,"OS incorrectly installs a program with setuid privileges, allowing users to gain privileges.",CWE-269,Improper Privilege Management
CVE-2006-4926,"Anti-virus product uses insecure security descriptor for a device driver, allowing access to a privileged IOCTL.",CWE-782,Exposed IOCTL with Insufficient Access Control
CVE-2019-3907,identity card uses MD5 hash of a salt and password,CWE-1240,Use of a Cryptographic Primitive with a Risky Implementation
CVE-2007-4682,Crafted input triggers dereference of an uninitialized object pointer.,CWE-457,Use of Uninitialized Variable
CVE-2015-3629,A Libcontainer used in Docker Engine allows local users to escape containerization and write to an arbitrary file on the host system via a symlink attack in an image when respawning a container.,CWE-61,UNIX Symbolic Link (Symlink) Following
CVE-2005-2029,.inc file stored under web document root and returned unparsed by the server,CWE-433,Unparsed Raw Web Content Delivery
CVE-2022-30276,SCADA-based protocol for bridging WAN and LAN traffic has no authentication.,CWE-306,Missing Authentication for Critical Function
CVE-2008-6827,"Agent software running at privileges does not authenticate incoming requests over an unprotected channel, allowing a Shatter attack.",CWE-306,Missing Authentication for Critical Function
CVE-2021-43537,"Chain: in a web browser, an unsigned 64-bit integer is forcibly cast to a 32-bit integer (CWE-681) and potentially leading to an integer overflow (CWE-190). If an integer overflow occurs, this can cause heap memory corruption (CWE-122)",CWE-122,Heap-based Buffer Overflow
CVE-2010-2772,"SCADA system uses a hard-coded password to protect back-end database containing authorization information, exploited by Stuxnet worm",CWE-798,Use of Hard-coded Credentials
CVE-2009-2346,Protocol implementation allows remote attackers to cause a denial of service (call-number exhaustion) by initiating many message exchanges.,CWE-837,"Improper Enforcement of a Single, Unique Action"
